"","species","coef","se","p"
"1","Acartia hudsonica",-0.762150174407931,0.183407898658073,0.00597435646544264
"2","Acartia tonsa",0.275554370226693,0.231489895070454,0.299724099971216
"3","Accipiter nisus",0.106165339759034,0.126481359689439,0.415362344710619
"4","Acrocephalus arundinaceus",-0.116447837383463,0.0765582867722042,0.139877049096648
"5","Acrocephalus scirpaceus",-0.405226578022315,0.0969676718963982,0.000275213420781936
"6","Alca torda",0.200621956521759,0.116907146022451,0.100197926713312
"7","Ammodytes marinus",1.35139260869572,0.418431726416355,0.00385290582232323
"8","Asterionella spp.",-0.395568598768134,0.215495005759029,0.0788346819503261
"9","Beroe gracilis",-0.442950406227386,0.730632668829824,0.549810634313628
"10","Bombus spp.",0.364835164835172,0.243011238467478,0.159122834962916
"11","Castilleja tenuiflora",0.178439912684556,0.406100880203806,0.665907511352907
"12","Caterpillar spp.",-0.184502912473588,0.0692012072790657,0.0109279935713393
"13","Caterpillar2 spp.",-0.742149176845457,0.188171447454861,0.000951400521583189
"14","Cerorhinca monocerata",0.514579734219268,0.4979399813149,0.328377844579476
"15","Copepod1 spp.",-0.769567230255838,0.307824061842837,0.0185499441894555
"16","Copepod2 spp.",-0.8630153155848,0.374333198953681,0.0297188134750429
"17","Corydalis ambigua",0.721978021978037,0.360426717362548,0.0682801478874123
"18","Cyclops vicinus",-0.713559405940539,0.60202105287877,0.258851209325246
"19","Daphnia hyalina-galeata",-0.248595959359862,0.168630300005439,0.153423201658993
"20","Daphnia pulicaria",0.724558974358965,0.452843556764551,0.123241772692133
"21","Daphnia1 spp.",-1.11313246153846,0.3501168933489,0.00418007184739813
"22","Daphnia2 spp.",-0.131793040293041,0.420384159360711,0.756496926480784
"23","Daphnia3 spp.",-0.696012315376935,0.153301582415608,6.37976399288569e-05
"24","Delphinium nuttallianum",-0.571686488770434,0.158375914857727,0.00118384578387945
"25","Diatom1 spp.",-0.960304145299162,0.304549204145031,0.00444849042636582
"26","Diatom2 spp.",-0.881069699999999,0.59354657460051,0.151275559381736
"27","Diatom3 spp.",-0.00596880978865152,0.242467745960401,0.980535126227495
"28","Diatom4 spp.",-0.840239530956854,0.195468286686114,0.000115317840718469
"29","Engraulis japonicus",-1.50021650055365,2.12683966212856,0.498426153411686
"30","Epirrita autumnata",-1.02194901098901,0.474848446083886,0.0524407986476443
"31","Erythronium grandiflorum",-0.439121807065217,0.180848510608789,0.0224012906943577
"32","Ficedula albicollis",-0.0101280120637971,0.0814898669707222,0.901518939442386
"33","Ficedula hypoleuca",-0.453016366177492,0.0806522202102878,3.07992242580223e-05
"34","Fratercula arctica",0.293180739130447,0.147579043784724,0.059562027474386
"35","Glis glis",-0.762029743589745,0.15141566341967,3.82635082933972e-05
"36","Guillemots spp.",0.342474308300416,0.149631456731374,0.0325572959586967
"37","Keratella cochlearis",-0.740569527013609,0.267677317985321,0.00960339890158198
"38","Leptodiaptomus ashlandi",-0.215780839673312,0.297328635700158,0.472828389717312
"39","Mnemiopsis leidyi",-1.19383720396549,0.249877032121067,0.00307007485950316
"40","Operophtera brumata",-0.356399997454411,0.115258424102378,0.00426861628716754
"41","Parus ater",-0.353305682421666,0.197924306033942,0.0911147267941267
"42","Parus caeruleus",-1.1778302091512,0.708485013031799,0.103528782516636
"43","Parus major",-0.661896846457883,0.193213832220191,0.000858047932242081
"44","Perca fluviatillis",-0.477487225760793,0.0611291579084443,4.31992602412958e-09
"45","Phalacrocorax aristotelis",-0.465760260869667,0.522737815871781,0.382569490499835
"46","Phytoplankton1 spp.",-0.538059369441225,0.15781656894051,0.00165465143622228
"47","Phytoplankton2 spp.",-0.986694059405928,0.379300894693155,0.0231682165701395
"48","Plant2 spp.",-1.60753333333332,0.53636482175866,0.017147586410533
"49","Plant3 spp.",-0.122158986539902,0.633071282958874,0.849274913026003
"50","Pleurobrachia pileus",-1.9980756395996,0.521362016721143,0.000722683213842339
"51","Poecile montanus",-0.236786813186813,0.199245156525585,0.257656176604163
"52","Pygoscelis adeliae",0.276960784313682,0.222074693916992,0.231464024896714
"53","Pygoscelis antarcticus",-0.321212121212127,0.301480887348069,0.317770282131257
"54","Pygoscelis papua",0.186274509803873,0.308634136343687,0.555164117310884
"55","Quercus robur",-1.55153785082122,0.348405268483035,4.89597290255449e-05
"56","Quercus spp.",0.98111071428564,1.69977662518573,0.588818587168895
"57","Rangifer2 tarandus",-0.244539393939402,0.212359053067326,0.282761603615246
"58","Rissa tridactyla",2.33341930732682,0.324235167171589,5.21037102035675e-09
"59","Selasphorus platycercus",-0.242915801904659,0.209633266442562,0.255400539760521
"60","Sitta europaea",-0.0894314529914536,0.106424075663173,0.409016817818075
"61","Syrphid spp.",0.104966191607322,0.492918001061891,0.83389976119975
"62","Tortrix viridana",0.92995714285708,1.33010354727338,0.515630029101495
"63","Uria aalge",-0.461997086956522,0.395780555601335,0.255583390745766
