"","X1","X2","id","meanchange"
"1",0,0,1,0.0319908960542658
"2",0,0,2,0.0046566045666793
"3",0,0,3,-0.0013063874603934
"4",0,0,4,-0.00679706639244893
"5",0,0,5,0.00706610802611692
"6",0,0,6,-0.010801390944047
"7",0,0,7,-0.00757302243543743
"8",0,0,8,0.0294526747486931
"9",0,0,9,0.00676787677355733
"10",0,0,10,0.0102375827030247
"11",0,0,11,-0.00308956662536665
"12",0,0,12,-0.0320259433804557
"13",0,0,13,0.019945919969161
"14",0,0,14,0.00488346432696578
"15",0,0,15,-0.0485349525754605
"16",0,0,16,-0.00260695797729726
"17",0,0,17,-0.00881778598456135
"18",0,0,18,0.00267588154003172
"19",0,0,19,0.00224514410370638
"20",0,0,20,0.0687576867101511
"21",0,0,21,0.0299438249413441
"22",0,0,22,0.0498353929996196
"23",0,0,23,-0.0174615128648015
"24",0,0,24,0.0280298365339453
"25",0,0,25,-0.00132738334698509
"26",0,0,26,-0.000839829983636594
"27",0,0,27,-0.0222347955690769
"28",0,0,28,-0.0154448361358339
"29",0,0,29,0.0171602734744619
"30",0,0,30,0.0485403449217687
"31",0,0,31,0.00546686779411593
"32",0,0,32,-0.032221883440935
"33",0,0,33,-0.0271116147646712
"34",0,0,34,-0.00814843736698426
"35",0,0,35,0.0605316948407135
"36",0,0,36,0.0578471504009439
"37",0,0,37,0.0968519907538517
"38",0,0,38,0.0924527768676619
"39",0,0,39,-0.0575727597697553
"40",0,0,40,-0.0551692141222535
"41",0,0,41,-0.0110575328553376
"42",0,0,42,-0.0615323662571687
"43",0,0,43,-0.0193362328431277
"44",0,0,44,-0.00783868214112022
"45",0,0,45,-0.0016341670139188
"46",0,0,46,0.00620451512720142
"47",0,0,47,-0.0103294235590248
"48",0,0,48,-0.00327961295919021
"49",0,0,49,0.00460826921730414
"50",0,0,50,-0.0191582727602214
"51",0,0,51,-0.00169321732355614
"52",0,0,52,0.0275646311904739
"53",0,0,53,0.0291486768943219
"54",0,0,54,0.0114198529950206
